"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Geothermal exploration in the Salton Trough, California","Meidav, T; Rex, R W","15 GEOTHERMAL ENERGY; SALTON SEA; GEOTHERMAL EXPLORATION; CALIFORNIA; ELECTRICAL SURVEYS; GEOPHYSICAL SURVEYS; HEAT FLOW; EXPLORATION; IMPERIAL VALLEY; NORTH AMERICA; USA; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","","","","United States","1970-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysics; (United States); Journal Volume: 35:6","","Medium: X; Size: Pages: 1169","","","","Journal ID: CODEN: GPYSA","","","2009-12-16T00:00:00Z","5196923","https://www.osti.gov/biblio/5196923","","Geophysics; (United States)","","35:6"
"Complex utilization of thermal waters containing a high salt content","Gaal, L","15 GEOTHERMAL ENERGY; HUNGARY; HOT SPRINGS; MINERAL SPRINGS; THERMAL WATERS; EXPLOITATION; GEOCHEMISTRY; BRINES; PIPES; CHEMISTRY; EUROPE; THERMAL SPRINGS; 150102* - Geothermal Energy- Resources & Availability- Non-USA- (-1989); 150903 - Geothermal Engineering- Corrosion, Scaling & Materials Development","","","","","","","United States","1970-01-01T00:00:00Z","English","Journal Article","","Journal Name: Hidrol. Koezl.; (); Journal Volume: 50:6","","Medium: X; Size: Pages: 255-260","","","","","","","2009-12-16T00:00:00Z","5198836","https://www.osti.gov/biblio/5198836","","Hidrol. Koezl.; ()","","50:6"
"Menderes massif geothermal province","Dam, A T; Khrebtov, A I","15 GEOTHERMAL ENERGY; TURKEY; GEOTHERMAL EXPLORATION; GEOTHERMAL RESOURCES; HEAT TRANSFER; HOT SPRINGS; MAGMA; THERMAL WATERS; ASIA; ENERGY TRANSFER; EXPLORATION; IGNEOUS ROCKS; MIDDLE EAST; RESOURCES; ROCKS; THERMAL SPRINGS; 150102* - Geothermal Energy- Resources & Availability- Non-USA- (-1989); 150300 - Geothermal Exploration & Exploration Technology","","","","","","","United States","1970-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; Journal Volume: 2","","Medium: X; Size: Pages: 117-23","","","","Journal ID: CODEN: GTMCA","","","2009-12-16T00:00:00Z","5246011","https://www.osti.gov/biblio/5246011","","Geothermics","","2"
"Kizildere geothermal field, western Anatolia","Dam, A T; Erentoz, C","15 GEOTHERMAL ENERGY; GEOTHERMAL FIELDS; GEOCHEMICAL SURVEYS; TURKEY; BOREHOLES; DRILLING; EXPLORATION; GEOLOGY; GEOTHERMAL RESOURCES; SEISMOLOGY; STRATIGRAPHY; TEMPERATURE GRADIENTS; ASIA; CAVITIES; MIDDLE EAST; RESOURCES; 150102* - Geothermal Energy- Resources & Availability- Non-USA- (-1989); 150302 - Geothermal Exploration & Exploration Technology- Geochemical Techniques & Surveys","","","","","","","United States","1970-01-01T00:00:00Z","English","Journal Article","","Journal Name: Geothermics; Journal Volume: 2","","Medium: X; Size: Pages: 124-9","","","","Journal ID: CODEN: GTMCA","","","2009-12-16T00:00:00Z","5246015","https://www.osti.gov/biblio/5246015","","Geothermics","","2"
"Distribution of hot springs of the world","Yuhara, K","15 GEOTHERMAL ENERGY; GEOTHERMAL RESOURCES; HOT SPRINGS; DISTRIBUTION; FUMAROLES; TECTONICS; VOLCANOES; RESOURCES; THERMAL SPRINGS; 150200* - Geology & Hydrology of Geothermal Systems","","","","","","","United States","1970-01-01T00:00:00Z","Japanese","Journal Article","","Journal Name: Jpn. J. Geol. Geogr.; Journal Volume: 79:2","","Medium: X; Size: Pages: 57-79","","","","Journal ID: CODEN: JJGGA","10.5026/jgeography.79.2_58","","2016-04-11T00:00:00Z","5214779","https://www.osti.gov/biblio/5214779","","Jpn. J. Geol. Geogr.","","79:2"
"Linear system description of the electrical parameters of rocks","Fuller, B D; Ward, S H","15 GEOTHERMAL ENERGY; ROCKS; ELECTRICAL PROPERTIES; ELECTRIC CONDUCTIVITY; PHYSICAL PROPERTIES; 152002* - Geothermal Data & Theory- Properties of Minerals & Rocks","","","","","","","United States","1970-01-01T00:00:00Z","English","Journal Article","","Journal Name: IEEE Trans. Geosci. Electron.; (United States); Journal Volume: GE-8:1","","Medium: X; Size: Pages: 7-18","","","","Journal ID: CODEN: IEGEA","10.1109/TGE.1970.271447","","2016-04-26T00:00:00Z","5194903","https://www.osti.gov/biblio/5194903","","IEEE Trans. Geosci. Electron.; (United States)","","GE-8:1"
"On IR imagery and its application to the mapping of geothermal distributions","Matsuno, K; Hase, H; Nishimura, K","15 GEOTHERMAL ENERGY; GEOTHERMAL FIELDS; INFRARED SURVEYS; GEOTHERMAL RESOURCES; DISTRIBUTION; EXPLORATION; IMAGES; JAPAN; ASIA; GEOPHYSICAL SURVEYS; RESOURCES; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","Geological Survey of Japan, Kawasakishi","","","United States","1969-12-01T00:00:00Z","English","Journal Article","","Journal Name: Photogrammetria; Journal Volume: 25:2/3","","Medium: X; Size: Pages: 61-74","","","","Journal ID: CODEN: PTGMA","10.1016/0031-8663(69)90008-8","","2016-04-29T00:00:00Z","5241785","https://www.osti.gov/biblio/5241785","","Photogrammetria","","25:2/3"
"Bananas grow in Iceland, but only in greenhouses","","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; SPACE HEATING; GREENHOUSES; HEATING; ICELAND; GEOTHERMAL RESOURCES; AGRICULTURE; CROPS; ECONOMICS; FOOD; FRUITS; HOT SPRINGS; PLANTS; THERMAL WATERS; USES; VEGETABLES; BIOMASS; BUILDINGS; ENERGY; ENERGY SOURCES; EUROPE; RENEWABLE ENERGY SOURCES; RESOURCES; THERMAL SPRINGS; 151000* - Geothermal Energy- Direct Energy Utilization","","","","","","","United States","1969-11-23T00:00:00Z","English","Journal Article","","Journal Name: Grit; (United States); Journal Volume: 50","","Medium: X; Size: Pages: 26","","","","","","","2009-12-16T00:00:00Z","5147501","https://www.osti.gov/biblio/5147501","","Grit; (United States)","","50"
"Getting up steam: geothermal power is slowly moving from research to development","Summers, W K; Ross, S H","15 GEOTHERMAL ENERGY; GEOTHERMAL ENERGY; ELECTRIC POWER; EXPLOITATION; GEOTHERMAL POWER PLANTS; POWER GENERATION; ENERGY; ENERGY SOURCES; POWER; POWER PLANTS; RENEWABLE ENERGY SOURCES; THERMAL POWER PLANTS; 150800* - Geothermal Power Plants","","","","","","","United States","1969-11-17T00:00:00Z","English","Journal Article","","Journal Name: Barrons; (); Journal Volume: 49; Other Information: From Power from the Earth: Geothermal Energy (Bibliography), p. 7","","Medium: X; Size: Pages: 11","","","","","","","2009-12-16T00:00:00Z","5208630","https://www.osti.gov/biblio/5208630","","Barrons; ()","","49"
"Operational airborne thermal imaging surveys","Stingelin, R W","15 GEOTHERMAL ENERGY; INFRARED SURVEYS; AERIAL MONITORING; GEOPHYSICAL SURVEYS; REMOTE SENSING; MONITORING; 150301* - Geothermal Exploration & Exploration Technology- Geophysical Techniques & Surveys","","","","","","","United States","1969-10-01T00:00:00Z","English","Journal Article","","Journal Name: Geophysics; (United States); Journal Volume: 34:5","","Medium: X; Size: Pages: 760-71","","","","Journal ID: CODEN: GPYSA","10.1190/1.1440046","","2016-04-29T00:00:00Z","5169658","https://www.osti.gov/biblio/5169658","","Geophysics; (United States)","","34:5"
